embedding_norm,l1_norm,weight_variance,weight_skew,weight_kurtosis,logit_norm,Model,Step
93.26171,864.12616,0.00045072992,0.00014440001,0.06581378,360.6259,Model 30M,500
98.81241,930.56836,0.00050598715,-9.497913e-05,0.20135617,512.1868,Model 30M,1000
103.992966,997.56464,0.00056043896,-0.00022458538,0.3386352,602.57465,Model 30M,1500
108.91811,1051.6072,0.0006147829,-0.00058192137,0.47917676,663.79254,Model 30M,2000
113.67965,1105.9683,0.0006697095,-0.00040523068,0.6151893,716.3816,Model 30M,2500
118.186615,1156.1593,0.00072386424,-0.0005381104,0.74466205,755.899,Model 30M,3000
122.594086,1203.8927,0.0007788555,-0.00048886944,0.8650439,786.8289,Model 30M,3500
126.81491,1245.9847,0.0008334083,-0.0004657773,0.97371984,812.9234,Model 30M,4000
130.88084,1284.4684,0.0008877161,-0.00044001918,1.0790248,833.4874,Model 30M,4500
134.8819,1320.5244,0.0009428357,-8.900215e-05,1.1736169,842.4745,Model 30M,5000
138.79366,1352.1791,0.000998326,-0.00085528253,1.2602844,847.0397,Model 30M,5500
142.55923,1382.3094,0.0010532337,-0.0008449526,1.341342,841.8841,Model 30M,6000
146.26897,1414.3479,0.0011087668,-0.0007732777,1.4143462,834.1671,Model 30M,6500
149.88293,1448.1663,0.0011642359,-0.0012195087,1.4837599,825.4834,Model 30M,7000
153.37865,1478.9486,0.0012191773,-0.0013286,1.5452843,820.7916,Model 30M,7500
156.75168,1506.5315,0.0012733844,-0.0017035396,1.6012688,817.1053,Model 30M,8000
160.14082,1531.8987,0.0013290433,-0.0021212555,1.6542583,817.6329,Model 30M,8500
163.38472,1560.6963,0.0013834275,-0.0031012686,1.7011795,819.84924,Model 30M,9000
166.59831,1592.0441,0.0014383814,-0.0026457082,1.7447352,822.70197,Model 30M,9500
169.74394,1624.0333,0.0014932045,-0.0026579641,1.7847261,828.4317,Model 30M,10000
172.8058,1652.4603,0.0015475581,-0.0029189053,1.8194213,829.1343,Model 30M,10500
175.77484,1681.6968,0.0016011846,-0.003257872,1.8572297,832.99866,Model 30M,11000
178.7041,1709.4036,0.001654994,-0.0038578543,1.8907495,836.9588,Model 30M,11500
181.57098,1735.5192,0.0017085229,-0.0044335998,1.9220352,841.4302,Model 30M,12000
184.43245,1762.8373,0.0017628168,-0.0046663764,1.9487557,846.43463,Model 30M,12500
187.23706,1787.3866,0.0018168559,-0.0048257774,1.9782209,849.21954,Model 30M,13000
189.99818,1812.0552,0.0018708574,-0.005367328,2.0028205,850.6593,Model 30M,13500
192.70827,1837.5522,0.0019246233,-0.00574879,2.0250106,854.73035,Model 30M,14000
195.40594,1862.1349,0.0019788984,-0.005885968,2.0487165,850.88635,Model 30M,14500
198.06853,1887.207,0.002033196,-0.0059465794,2.0717173,848.0117,Model 30M,15000
200.69713,1910.1166,0.0020875267,-0.0063268426,2.0913577,843.3422,Model 30M,15500
203.24576,1933.4294,0.002140886,-0.006113194,2.1108956,836.03827,Model 30M,16000
205.76941,1953.3475,0.0021943883,-0.0060962425,2.1296911,830.7418,Model 30M,16500
208.2977,1975.264,0.002248646,-0.006477712,2.1470327,821.90845,Model 30M,17000
210.79234,1997.6667,0.002302829,-0.0065602697,2.162187,809.77234,Model 30M,17500
213.25221,2018.0027,0.0023568862,-0.006638589,2.1754928,796.63336,Model 30M,18000
215.66234,2036.9121,0.0024104563,-0.0062632286,2.1869226,784.13696,Model 30M,18500
218.06082,2058.784,0.0024643706,-0.0062644696,2.1998935,772.5838,Model 30M,19000
220.41457,2079.599,0.0025178557,-0.006212788,2.2119484,764.91174,Model 30M,19500
222.73842,2099.194,0.0025712217,-0.006369361,2.2237754,758.61255,Model 30M,20000
225.04756,2118.882,0.002624803,-0.0063596866,2.234746,755.4662,Model 30M,20500
227.31473,2138.952,0.0026779494,-0.0062436988,2.244773,752.2886,Model 30M,21000
229.60896,2158.126,0.002732276,-0.006376552,2.2545676,749.60205,Model 30M,21500
231.88531,2179.933,0.0027867118,-0.0066725374,2.264071,744.8371,Model 30M,22000
234.10336,2197.8757,0.002840271,-0.0067205494,2.2739034,738.2064,Model 30M,22500
236.32036,2216.4062,0.002894314,-0.0066087567,2.284019,731.31134,Model 30M,23000
238.52562,2234.9663,0.0029485829,-0.006879788,2.2934566,723.19543,Model 30M,23500
240.69832,2252.2188,0.003002536,-0.0071898946,2.3006115,718.1705,Model 30M,24000
242.85011,2272.0103,0.003056448,-0.0074006515,2.3074913,711.43835,Model 30M,24500
244.96573,2290.7305,0.0031099299,-0.007252826,2.3146687,706.7298,Model 30M,25000
247.06583,2308.553,0.0031634688,-0.0075392043,2.3207412,703.064,Model 30M,25500
249.16881,2324.3545,0.003217545,-0.0073910593,2.3275695,699.93304,Model 30M,26000
251.25764,2339.4158,0.0032717232,-0.0074707605,2.3355079,698.9974,Model 30M,26500
253.32666,2353.9858,0.0033258242,-0.007989018,2.342101,701.1766,Model 30M,27000
255.3601,2371.1804,0.0033794395,-0.007911459,2.3482752,703.1823,Model 30M,27500
257.3681,2387.404,0.0034328087,-0.008304974,2.3541627,707.0761,Model 30M,28000
259.37598,2405.1067,0.0034866077,-0.008319251,2.3581223,710.3475,Model 30M,28500
260.40985,2413.38,0.0035144596,-0.008250042,2.3609896,711.4236,Model 30M,999999
50.72661,808.36615,0.00040001143,0.00057800714,-0.00029683113,50.6415,Model 7M,0
53.77697,867.6266,0.0004495667,0.0017559801,0.069568634,330.18015,Model 7M,500
57.276497,936.58514,0.0005099818,0.0036951974,0.23808074,488.2289,Model 7M,1000
60.739586,1004.15265,0.00057351455,0.003138292,0.42781472,581.163,Model 7M,1500
64.00024,1066.1047,0.0006367446,0.0035335603,0.5998378,652.023,Model 7M,2000
67.095375,1121.7195,0.00069982256,0.0023420276,0.7433002,710.6839,Model 7M,2500
70.02906,1179.2269,0.00076236064,0.0033300212,0.8712547,751.494,Model 7M,3000
72.84616,1229.9663,0.0008249309,0.0027869064,0.98701906,777.5867,Model 7M,3500
75.50548,1286.41,0.0008862588,0.001871819,1.0867195,792.5506,Model 7M,4000
78.01592,1338.0485,0.0009461737,0.0024773104,1.1817555,800.7068,Model 7M,4500
80.46443,1386.9762,0.0010064946,0.0022569417,1.2671795,806.8601,Model 7M,5000
82.83365,1435.1869,0.0010666383,0.0023974127,1.3443785,808.87195,Model 7M,5500
85.09558,1478.7494,0.0011256861,0.0014264673,1.411377,808.49786,Model 7M,6000
87.335205,1520.4009,0.0011857183,0.0021507652,1.4777846,813.4493,Model 7M,6500
89.51421,1559.3942,0.0012456231,0.0018082098,1.5395775,823.0573,Model 7M,7000
91.58803,1598.655,0.0013040097,0.003303686,1.5920339,833.65,Model 7M,7500
93.58543,1633.2507,0.0013615087,0.003975245,1.64043,843.80176,Model 7M,8000
95.613,1668.4655,0.0014211462,0.0031782053,1.6843185,850.7652,Model 7M,8500
97.54365,1701.0667,0.0014791203,0.004306126,1.7278295,859.47687,Model 7M,9000
99.452934,1730.1847,0.0015375908,0.0040741023,1.7669373,867.07965,Model 7M,9500
101.33812,1761.1699,0.0015964385,0.0039064293,1.7998695,876.40594,Model 7M,10000
103.18574,1791.7993,0.0016551815,0.0039545465,1.8308454,882.446,Model 7M,10500
104.971085,1823.0386,0.001712952,0.0041425675,1.8650641,890.6253,Model 7M,11000
106.75204,1849.753,0.0017715744,0.0043663555,1.8978167,895.4023,Model 7M,11500
108.50139,1880.2666,0.0018301109,0.004528524,1.9293656,892.5879,Model 7M,12000
110.24131,1909.787,0.0018892721,0.004967034,1.9553466,887.93335,Model 7M,12500
111.94417,1937.8505,0.0019480912,0.0051347646,1.9792862,881.56104,Model 7M,13000
113.61886,1963.9641,0.0020068085,0.0046135336,2.0000577,872.3734,Model 7M,13500
115.28168,1989.0564,0.0020659799,0.004232682,2.0238223,864.51276,Model 7M,14000
116.94213,2014.5581,0.0021259228,0.00467063,2.048801,852.77625,Model 7M,14500
118.546455,2040.8633,0.002184656,0.005496053,2.0677748,847.21716,Model 7M,15000
120.13982,2064.3086,0.0022437733,0.004393369,2.0914893,839.4226,Model 7M,15500
121.71489,2087.3533,0.002302992,0.0040416177,2.109675,832.41766,Model 7M,16000
123.258545,2108.8027,0.0023617798,0.003600279,2.1283722,828.2037,Model 7M,16500
124.79198,2130.659,0.002420909,0.0030187021,2.1446824,823.37427,Model 7M,17000
126.32951,2155.728,0.0024809304,0.0026355612,2.158741,815.0766,Model 7M,17500
127.84101,2176.2646,0.0025406575,0.0026043917,2.1724515,806.3155,Model 7M,18000
129.30017,2198.6091,0.0025989858,0.002707645,2.1835957,797.94904,Model 7M,18500
130.78577,2222.7178,0.0026590528,0.002640551,2.1969123,789.7651,Model 7M,19000
132.2474,2250.341,0.0027188198,0.0022718317,2.2111964,784.3235,Model 7M,19500
133.69006,2276.7915,0.002778472,0.0017815559,2.226235,777.70703,Model 7M,20000
135.1263,2301.1929,0.00283849,0.0017176876,2.2398586,774.5678,Model 7M,20500
136.5414,2329.5852,0.0028982563,0.0011138915,2.2531428,768.4223,Model 7M,21000
138.00273,2355.7446,0.0029606235,0.0012212483,2.2659154,763.7863,Model 7M,21500
139.41792,2383.0195,0.0030216675,0.0009348858,2.273899,759.9784,Model 7M,22000
140.81581,2405.8306,0.0030825636,0.00032688258,2.2855406,756.3623,Model 7M,22500
142.20073,2430.3398,0.0031434966,0.0004691204,2.2983222,748.64825,Model 7M,23000
143.58107,2451.697,0.003204826,-8.584378e-05,2.3105645,738.82666,Model 7M,23500
144.93156,2477.7695,0.0032653976,-0.00063389784,2.319469,728.8726,Model 7M,24000
146.28755,2499.427,0.0033267853,-0.0005433076,2.3253217,719.8596,Model 7M,24500
147.62625,2523.2842,0.0033879501,-0.00060860475,2.3342013,715.74304,Model 7M,25000
148.97285,2547.86,0.003450041,-0.0010049662,2.3433003,714.8458,Model 7M,25500
150.28706,2570.4758,0.003511178,-0.0013043976,2.3503985,712.72815,Model 7M,26000
151.60286,2589.7559,0.0035729278,-0.0018462936,2.3538513,708.32135,Model 7M,26500
152.9244,2612.4114,0.0036354875,-0.0013531976,2.3618307,703.2304,Model 7M,27000
154.22517,2636.5337,0.0036976037,-0.00093040237,2.365819,694.86383,Model 7M,27500
155.51402,2656.835,0.0037596624,-0.0014140956,2.3724399,688.4982,Model 7M,28000
156.79321,2677.4573,0.0038217655,-0.0009815472,2.3778749,682.5254,Model 7M,28500
157.46738,2688.5933,0.0038546962,-0.00076203933,2.3815527,678.0439,Model 7M,999999
