Model,Step,l1_norm,weight_variance,logit_norm
Model 30M,1000,343965.71875,0.0005059869727119803,511.9220275878906
Model 30M,1500,360289.21875,0.0005604383768513799,602.1629638671875
Model 30M,2000,375466.65625,0.000614782446064055,663.2635498046875
Model 30M,2500,389995.1875,0.0006697096978314221,715.806884765625
Model 30M,3000,403579.21875,0.0007238639518618584,755.2404174804688
Model 30M,3500,416792.28125,0.0007788555813021958,786.1686401367188
Model 30M,4000,429371.125,0.0008334080339409411,812.2537841796875
Model 30M,4500,441385.21875,0.0008877166546881199,832.833740234375
Model 30M,5000,453203.71875,0.0009428368066437542,841.7833862304688
Model 30M,5500,464716.90625,0.0009983254130929708,846.3366088867188
Model 30M,6000,475765.3125,0.001053233747370541,841.1013793945312
Model 30M,6500,486682.5625,0.0011087656021118164,833.3049926757812
Model 30M,7000,497240.5,0.0011642358731478453,824.5584716796875
Model 30M,7500,507469.125,0.0012191756395623088,819.9119873046875
Model 30M,8000,517304.40625,0.001273385831154883,816.158203125
Model 30M,8500,527178.5625,0.0013290428323671222,816.6326293945312
Model 30M,9000,536684.5,0.0013834265992045403,818.9220581054688
Model 30M,9500,546038.0625,0.0014383802190423012,821.8134765625
Model 30M,10000,555237.3125,0.0014932053163647652,827.46533203125
Model 30M,10500,564198.5,0.0015475559048354626,828.1594848632812
Model 30M,11000,572845.6875,0.0016011846018955112,832.075927734375
Model 30M,11500,581350.875,0.0016549936262890697,836.084716796875
Model 30M,12000,589703.0625,0.0017085260478779674,840.586181640625
Model 30M,12500,598063.4375,0.0017628177301958203,845.5216674804688
Model 30M,13000,606201.375,0.0018168574897572398,848.2826538085938
Model 30M,13500,614259.6875,0.0018708585994318128,849.6956176757812
Model 30M,14000,622174.9375,0.0019246229203417897,853.5969848632812
Model 30M,14500,630016.25,0.001978896325454116,849.8745727539062
Model 30M,15000,637755.4375,0.0020331996493041515,847.1505126953125
Model 30M,15500,645447.5,0.002087524626404047,842.4392700195312
Model 30M,16000,652877.6875,0.0021408884786069393,835.2123413085938
Model 30M,16500,660189.1875,0.002194388536736369,829.8194580078125
Model 30M,17000,667527.25,0.0022486478555947542,820.8955688476562
Model 30M,17500,674834.75,0.00230283010751009,808.8518676757812
Model 30M,18000,682029.5625,0.002356886398047209,795.741943359375
Model 30M,18500,689109.75,0.002410459564998746,783.2266845703125
Model 30M,19000,696105.875,0.0024643682409077883,771.6742553710938
Model 30M,19500,703012.5,0.0025178524665534496,764.1318969726562
Model 30M,20000,709806.4375,0.0025712240021675825,757.7523803710938
Model 30M,20500,716557.125,0.00262480229139328,754.7765502929688
Model 30M,21000,723190.0,0.002677947049960494,751.5386352539062
Model 30M,21500,729916.375,0.0027322759851813316,748.9579467773438
Model 30M,22000,736598.375,0.0027867103926837444,744.1751708984375
Model 30M,22500,743075.9375,0.0028402735479176044,737.5634765625
Model 30M,23000,749583.0625,0.002894315170124173,730.6970825195312
Model 30M,23500,756002.1875,0.0029485782142728567,722.60986328125
Model 30M,24000,762344.625,0.003002538112923503,717.4498901367188
Model 30M,24500,768633.5625,0.003056449117138982,710.7522583007812
Model 30M,25000,774837.0625,0.0031099256593734026,705.927001953125
Model 30M,25500,781003.3125,0.0031634692568331957,702.3703002929688
Model 30M,26000,787165.875,0.0032175478991121054,699.2891235351562
Model 30M,26500,793224.875,0.003271722700446844,698.2866821289062
Model 30M,27000,799305.375,0.003325823461636901,700.4451293945312
Model 30M,27500,805294.125,0.003379438305273652,702.4112548828125
Model 30M,28000,811183.625,0.003432806581258774,706.3198852539062
Model 30M,28500,817122.8125,0.003486606990918517,709.501708984375
Model 30M,29000,820150.625,0.0035144619178026915,710.5236206054688
Model 124M,0,615904.5,0.0004000453627668321,123.94972229003906
Model 124M,500,648317.4375,0.0004446911334525794,346.26776123046875
Model 124M,1000,677266.125,0.0004882088105659932,489.07794189453125
Model 124M,1500,704347.125,0.0005316939787007868,615.08447265625
Model 124M,2000,729835.6875,0.0005751230055466294,720.5767211914062
Model 124M,2500,754250.125,0.0006188263650983572,800.2874145507812
Model 124M,3000,777247.9375,0.0006619301857426763,851.7653198242188
Model 124M,3500,799508.4375,0.0007052641012705863,886.1654052734375
Model 124M,4000,821022.75,0.000748721300624311,897.6367797851562
Model 124M,4500,841445.5,0.0007915888563729823,904.5253295898438
Model 124M,5000,861446.375,0.0008347329567186534,900.3246459960938
Model 124M,5500,881039.1875,0.0008782035438343883,899.4279174804688
Model 124M,6000,899833.9375,0.0009212561999447644,899.5263061523438
Model 124M,6500,918227.75,0.000964336097240448,901.64599609375
Model 124M,7000,936266.8125,0.0010076286271214485,905.0899658203125
Model 124M,7500,953604.5625,0.0010503301164135337,904.3027954101562
Model 124M,8000,970486.0,0.0010930178686976433,907.078125
Model 124M,8500,987487.3125,0.0011365247191861272,907.8441772460938
Model 124M,9000,1003880.1875,0.0011795442551374435,912.142333984375
Model 124M,9500,1019860.375,0.0012225264217704535,911.4967651367188
Model 124M,10000,1035731.4375,0.0012658295454457402,908.7174072265625
Model 124M,10500,1051368.125,0.0013092431472614408,893.1502685546875
Model 124M,11000,1066369.5,0.0013517551124095917,887.9992065429688
Model 124M,11500,1081322.75,0.0013950159773230553,886.0186767578125
Model 124M,12000,1095883.0,0.0014375856844708323,888.5416259765625
Model 124M,12500,1110522.875,0.001481056329794228,891.5878295898438
Model 124M,13000,1124742.75,0.001524228136986494,895.7227172851562
Model 124M,13500,1139065.375,0.001567933359183371,892.3198852539062
Model 124M,14000,1153017.0,0.0016113431192934513,894.336669921875
Model 124M,14500,1166992.5,0.0016553029417991638,891.3803100585938
Model 124M,15000,1180855.25,0.0016993473982438445,887.770263671875
Model 124M,15500,1194503.375,0.0017435516929253936,881.5033569335938
Model 124M,16000,1207890.0,0.0017874975455924869,877.9095458984375
Model 124M,16500,1221034.125,0.0018312294268980622,879.5214233398438
Model 124M,17000,1234126.0,0.0018751174211502075,881.1181030273438
Model 124M,17500,1247273.25,0.0019196150824427605,881.5828247070312
Model 124M,18000,1260175.875,0.0019640056416392326,877.1024169921875
Model 124M,18500,1272901.875,0.0020080634858459234,872.5380859375
Model 124M,19000,1285572.625,0.002052519004791975,868.7564697265625
Model 124M,19500,1297966.25,0.0020964518189430237,868.5780639648438
Model 124M,20000,1310236.5,0.002140503376722336,872.791015625
Model 124M,20500,1322447.75,0.002184624085202813,879.7489624023438
Model 124M,21000,1334522.875,0.0022288919426500797,885.6581420898438
Model 124M,21500,1346729.625,0.002273878548294306,899.0137329101562
Model 124M,22000,1358760.125,0.0023184355814009905,910.0928955078125
Model 124M,22500,1370523.375,0.0023626487236469984,925.1578369140625
Model 124M,23000,1382226.75,0.0024069626815617085,940.7060546875
Model 124M,23500,1393705.625,0.0024512445088475943,952.0463256835938
Model 124M,24000,1405145.0,0.0024954380933195353,958.3789672851562
Model 124M,24500,1416609.125,0.0025402039755135775,962.1337890625
Model 124M,25000,1427792.0,0.0025843472685664892,961.7714233398438
Model 124M,25500,1439055.75,0.002629182767122984,960.407470703125
Model 124M,26000,1450172.125,0.0026736941654235125,950.9419555664062
Model 124M,26500,1461288.625,0.002718694042414427,940.2892456054688
Model 124M,27000,1472248.625,0.0027631281409412622,926.1168823242188
Model 124M,27500,1483173.75,0.0028077533934265375,911.329345703125
Model 124M,28000,1493830.75,0.0028520794585347176,902.2496337890625
Model 124M,28500,1504446.625,0.0028963538352400064,896.2536010742188
Model 124M,29000,1509920.25,0.0029193894006311893,892.20361328125
